Intent,Query,Responses
Acad_Axi_FHC_L5_maltrato,What is abuse?,"Abuse: It can manifest itself as a form of physical, verbal, psychological, sexual or emotional violence and is in no way justified, since it is an act of cowardice."
Acad_Axi_FHC_L5_nuevas masculinidades,What are the new masculinities?,"New masculinities: They are based on an egalitarian and non-hierarchical conception, whose meaning is anti-sexist, anti-racist, anti-homophobic, promoting a wide and diversified, plural and open experience of masculinity. Click here for more related information."
Acad_Axi_FHC_L5_sexo biológico,What does biological sex mean?,"Biological sex: Masculinity and femininity are a social construction according to the culture and, according to each one, the behaviors for a person are established. Click here for more related information."
Acad_Axi_FHC_L5_violencia de género,What is gender violence?,"Gender violence: It is known as gender violence to the mistreatment that one sex exerts towards the other, which can be of a man towards the woman or vice versa. Click here for more related information."
Acad_Axi_FHC_L5_violencia económica,What is economic violence?,Violencia económica: Se refiere a las limitaciones de dinero o posesiones que llevan a la dependencia y control sobre la persona afectada. Se presenta tanto en el hogar como en centros de trabajo.
Acad_Axi_FHC_L5_violencia física,What is physical violence?,"Violencia física: Golpes, empujones, patadas, pellizcos y mordidas, son algunos de los daños que puede generar este tipo de violencia, en la que también se llegan a usar armas u objetos con el propósito de causar daños a la víctima."
Acad_Axi_FHC_L5_violencia intrafamiliar,What is domestic violence?,"Domestic violence: It occurs when one of the members of the family abuses their authority, strength or power to subdue their members and occurs in the place where we should feel more secure."
Acad_Axi_FHC_L6_análisis FODA,What is SWOT analysis?,"Análisis FODA: Es una herramienta que te ayuda a identificar tus oportunidades y fortalezas, así como cuestiones del entorno que las impactan. Dá click aqui para más informacion relacionada"
Acad_Axi_FHC_L6_aptitudes,What is skills?,Skills: They come naturally and help you do your best to harness your potential. Click here for more related information.
Acad_Axi_FHC_L6_asertividad,What is assertiveness?,"Assertiveness: It involves demonstrating congruence between what is expressed, what is done and what is felt. Click here for more related information."
Acad_Axi_FHC_L6_autoconocimiento,What is self-knowledge?,Self-knowledge: The development of this life plan or project includes several levels or stages of definition. Click here for more related information.
Acad_Axi_FHC_L6_familia,What is family?,Family: It is the nucleus where we learn our first patterns of relationship with the world. Click here for more related information.
Acad_Axi_FHC_L6_habilidades,What is skills?,Skills: They show a greater facility to successfully carry out some type of activities thanks to learning. Click here for more related information.
Acad_Axi_FHC_L6_Inteligencia emocional,What is emotional intelligence?,"Emotional intelligence: Self-knowledge encompasses the recognition of our feelings and their management, which makes it a key element in the shaping of self-image, self-esteem and the development of assertiveness. Click here for more related information."
Acad_Axi_FHC_L6_interés,What is interest?,Interest: It is reflected in the passion and perseverance with which an activity is carried out. Click here for more related information.
Acad_Axi_FHC_L6_proyecto de vida,What is a life project?,Life project: It is a set of plans aimed at achieving what a person wants to be. Click here for more related information.
Acad_Axi_FHC_L6_relaciones personales,What are personal relationships?,"Relaciones personales: En ellas se pone en juego la inteligencia emocional y la asertividad, puesto que las personas interactúan y se entregan al otro en distintos niveles y áreas."
Acad_Axi_FHC_L6_resolución de conflictos,What is conflict resolution?,It is achieving a balance where both parties feel comfortable with the result that is obtained. Assertiveness is largely related to conflict resolution skills. Click here for more related information.
Acad_Axi_FHC_L7_administración del tiempo,What is time management?,"Time management: It is a very useful tool to organize your priorities, evaluate them and establish a balance between all those activities and roles that you must fulfill throughout life. Click here for more related information."
Acad_Axi_FHC_L7_desarrollo profesional,What is professional development?,"Professional development: It includes different aspects, such as career planning, the choice of vocation, and the incorporation of new knowledge that is useful to access greater job opportunities. Click here for more related information."
Acad_Axi_FHC_L7_formación social y ciudadana,What is social and civic training?,Social and civic training: It implies promoting the development of capacities to influence positive social changes. Click here for more related information.
Acad_Axi_FHC_L7_misión y visión,What is mission and vision?,"Mission and vision: These are concepts that emerged for the first time in the business world, to make the most of resources and achieve all their goals, now it has been implemented in the personal sphere. Click here for more related information."
Acad_Axi_FHC_L7_misión,What is mission?,Mission: It is a statement about the kind of people we want to become and it has to do with our values and with everything that we consider important. Click here for more related information.
Acad_Axi_FHC_L7_obituario,What is an obituary?,Obituary: It is a message in which the life and death of people are recognized and can contain funny stories or peculiar memories.
Acad_Axi_FHC_L7_planificación diaria,What is daily planning?,"Daily planning: It is an important part of proper time management, it must be flexible and realistic."
Acad_Axi_FHC_L7_sentido de la vida,What is the meaning of life?,"Meaning of life: It refers to the way in which we create our personal history; it is the result of experience, thoughts and decisions throughout our lives. Click here for more related information."
Acad_Axi_FHC_L7_tiempo,What is time?,Time: Thanks to its proper management we can reduce the accumulation of tasks and alleviate the feeling of pressure and stress that it usually carries. Click here for more related information.
Acad_Axi_FHC_L7_visión,What is vision?,Vision: It is the way you would live your life if you achieved each and every one of your goals. Click here for more related information.
Acad_Axi_FHC_logros del feminismo radical,What are the achievements of radical feminism?,"They developed “non-patriarchal” health and gynecology, founded nurseries, centers for battered women, self-defense centers"
Acad_Axi_FHC_masculinidad,Masculinity,"Masculinity: It is stability, the connection with yourself, both emotionally and in strength."
Acad_Axi_FHC_obstáculos de la escucha activa,They prevent me from active listening,"Obstáculos de la escucha activa: Desinterés por el tema, desinterés por la persona, preocupación por uno mismo, cosas pendientes, prejuicios, impaciencia, impulsividad, buscar respuestas prematuras y la falta de gestos al escuchar y acompañamiento."
Acad_Axi_FHC_Para qué sirve PowerPoint,What is PowerPoint for?,PowerPoint: Package implemented for the development of dynamic presentations.
Acad_Axi_FHC_patente de utilidad,What is a utility model?,Utility patent: It is the one that is generated when your invention is a product that has a technical advantage over other existing ones and has a duration of 10 years.
Acad_Axi_FHC_patriarcado,Definition of patriarchy,"""Patriarchy: the manifestation and institutionalization of male dominance over women, children and the extension of this domain to society in general) and the subsequent construction of patriarchal society, they go back to antiquity, when the human being became sedentary and agriculture emerged """
Acad_Axi_FHC_polaridad,What is polarity focused on?,Polarity: That each positive value corresponds to a negative one.
Acad_Axi_FHC_Que es una patente,What is a patent?,Patent is: a property title that is granted so that an invention can be exclusively exploited throughout the national territory
Acad_Axi_FHC_Qué es el acto valorativo,What is the evaluative act?,Evaluative act: It is the action by which we give a value to a specific object.
Acad_Axi_FHC_Qué es empatía,What is empathy?,empathy: understanding before being understood
Acad_Axi_FHC_Qué es ofimática,What is office automation?,"Office automation: They are the computer techniques, applications and tools, created to be applied in office work."
Acad_Axi_FHC_Qué es un FODA,What is a SWOT?,"SWOT: It is the tool that helps you identify the strengths, opportunities, weaknesses and threats, whether of a company, activity, even people."
Acad_Axi_FHC_Qué es una meta personal,What is a personal goal?,personal goal: It is responsible for defining a specific objective that we want to achieve
Acad_Axi_FHC_Qué hago si mi correo no se activa,What do I do if my email is not activated?,"My email is not activated: In case of access problems, report it to technical support so that they can register your email account in a maximum period of 24 hours."
Acad_Axi_FHC_Relaciones conyugales,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Relaciones maritales</font></font>",Marital relations: The marital relationship begins with the attraction between two people who recognize each other as individuals and can complement each other.
Acad_Axi_FHC_relaciones fraternas,What are fraternal relationships?,"Fraternal relations: Coexistence between siblings influences the development of personality, favors coexistence and the management of limits with peers. From fraternal relationships, people learn about collaboration, tolerance and solidarity, characteristics that can help in the process of socialization and adaptation."
Acad_Axi_FHC_Relaciones parentales,Parental relationships,"As part of the development process of people, in most homes the idea of having children becomes a shared and achievable wish."
Acad_Axi_FHC_S1_cambiar foto y nombre,How to change add a photo and change the Display Name?,"To add a photo and / or change the Display Name, While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Options. In the account section click Edit information. Click the change button if you want to use a photo on your profile. Click general. In the Name to display line, edit your name if necessary. Click the Save button, which is located in the lower right corner. To return to the Inbox folder, click Mail."
Acad_Axi_FHC_S1_concentración,What is concentration?,"Concentration, according to the Rae, consists of intensely focusing attention on something."
Acad_Axi_FHC_S1_multidisciplinar,What does multidisciplinary mean?,"Multidisciplinar, según la definición proporcionada por la RAE, es aquello que “Abarca o afecta a varias disciplinas”."
Acad_Axi_FHC_S1_Ofimática de Office 365,What applications comprise Office 365 Office Automation?,"Office 365 Office includes Word, Excel, PowerPoint, Outlook."
Acad_Axi_FHC_S2_intelectualismo racional,What is rational intellectualism focused on?,"Rational intellectualism focuses on the belief that values are learned rationally, intellectually and that all value is the product of an experience"
Acad_Axi_FHC_S2_objetividad,What is objectivity based on?,Objectivity is based on real facts and not on an arbitrary assessment that depends on the judge.
Acad_Axi_FHC_S2_valores,What are values?,"Values are the principles that guide the performance or conduct of a person and man exists from the beginning, who discovers them with intelligence."
Acad_Axi_FHC_S3_Comportamiento social,What does social behavior mean?,"Social behavior or social behavior is the way of proceeding that people or organisms have in relation to their environment or the world of stimuli. It is the set of motor responses to both internal and external stimuli. It can be conscious or unconscious, voluntary or involuntary, public or private, depending on the circumstances that affect you."
Acad_Axi_FHC_S3_desarrollo sustentable,Types of sustainable development approaches,"The types of sustainable development approaches are ecological approach, intergenerational approach, economic approach, sectoral approach."
Acad_Axi_FHC_S3_Enfoque sectorial,What is the sectoral approach?,"The sectoral approach refers to the fact that a specific productive sector will be sustainable, if the productive process does not impact the environment and, at the same time, is economically profitable. The sectoral approach is limited above all to adequately planning the activities to be developed, carrying out various plans for the use of natural resources, carrying out regional resource management studies, cost-benefit studies of development projects, risk and environmental impact studies, with a micro range of regionalization and selecting the least harmful technology to nature."
Acad_Axi_FHC_S3_Proteger Invento,How can I register an invention?,An invention is protected by an invention patent that lasts 20 years
Acad_Axi_FHC_S3_Proyecto P1,What is the  first  project about?,"For the project part 1 you will have to develop a script to produce a video (with a duration of 3 to 5 minutes) in session 7, about the process of self-knowledge that you have developed throughout the subject. The video will be titled My Best Version. For this part of the script you will be able to take up the information that you consider pertinent from the activities carried out in the challenges of the subject Write the text of the video script in the first person, start it by talking about who you are, who are the people who have influenced the person you are you are today. Locate your place in the context in which you find yourself, talk about the environment that surrounds you, what are your values and what decisions have allowed you to get to where you are today (personally and professionally) Considering what was reviewed in the session 3, include your participation as a citizen and as a professional in your community, make sure that this part of the text reflects your vision of the moment you are living and what you can do to improve it. Your work should include the cover with the identification data and the video template that you will find in session 3, learning unit 6. Send this file with the name PI1_Name and Surname.PDF"
Acad_Axi_FHC_S3_Ética,Meaning of ethics,Ethics is the search for the common good and respect for our own nature
Acad_Axi_FHC_S4_Equidad de género,meaning of gender equity,"Gender equity means becoming aware of and transforming the position of inequality and subordination that women have experienced through centuries of history in relation to men in the family, economic, social, political, cultural sphere and in history itself. , bearing in mind the circumstances of social class, age, ethnicity, sexual orientation or religious identification that may aggravate or accentuate these inequalities, implies the study of inequalities between genders pointing out the causes that produce them."
Acad_Axi_FHC_S4_Feminismo liberal,What is liberal feminism about?,"The most valuable contribution of liberal feminism, which included Simone de Beauvoir (1949), Betty Friedan (1984), the NOW group, Gloria Steinen, Bella Abzug (1995), among others, consisted in affirming the equal capacity of both sexes in the fight to defend the presence of women in science, politics and economics; in addition to opposing all the abuses that women continued to be subjected to, from the family, the State or the market."
Acad_Axi_FHC_S4_Roles de genero,How do sexual stereotypes,"Gender roles refer to the set of expectations related to social behaviors that are expected of people of a certain sex; These expectations reflect beliefs, practices and social values that men and women assume as their own, they are transmitted both at the micro and macro social level, beginning with the family. This is where the sexual stereotypes come from."
Acad_Axi_FHC_S4_Violencia Intrafamiliar,Intrafamily Violence,"As part of the family dynamics, there are cases in which the relationship between family members is marked by situations of aggression and violence, either between the partner or the children. The psychological consequences of abuse and domestic violence, especially when it becomes a constant, can lead to depression and post-traumatic stress."
Acad_Axi_FHC_S5_Feminidad,Femininity,"Femininity is going beyond what we think as women, promoting intellectual development."
Acad_Axi_FHC_S5_Ley para mujeres,Law for the protection of women,"The law for the protection of women establishes that any action or omission, based on their sex, that causes them psychological, physical, financial, economic, sexual damage or suffering or death in the private or public sphere. They include threats, coercion or deprivation of liberty."
Acad_Axi_FHC_S6_Autoconocimiento,Self-knowledge,"Self-knowledge is the integration of aspects such as values, identity, interests, skills, education and emotional intelligence that help us to generate a better knowledge of ourselves, they are reflected in our thoughts, behaviors and goals that we wish to achieve."
Acad_Axi_FHC_S6_Estilos de ayuda,Help Styles,"Democratic, authoritarian, paternalistic, and empathetic are helpful styles."
Acad_Axi_FHC_S6_habilidad,What is skill?,The ability is the development of the innate ability to perform some activity
Acad_Axi_FHC_S6_habilidades sociales,Social skills,"Active listening, reformulation, personalization, normalization, confrontation, initiating action, are examples of social skills."
Acad_Axi_FHC_S6_personalización y normalización,difference of the social skill of personalization and normalization,Personalization is to make the person responsible and thus reduce their level of relaxation while normalization is to relativize a situation to reduce a person's anxiety.
Acad_Axi_FHC_S7_Misión personal,What is a personal mission?,"A personal mission is a clarification about the kind of person we want to become, it has to do with our values and everything that we consider important"
Acad_Axi_FHC_S7_Proyecto 2,Where do I find project 2?,You can find project 2 in unit 13 of session 7
Acad_Axi_FHC_se basa el emocionalismo,What is emotionalism based on?,"In ensuring that values are grasped by intuition, they are known through emotions and feelings."
Acad_Axi_FHC_sirve Excel,What is Excel good for?,It is used for the implementation of basic mathematical calculations such as arithmetic and as complex as statistics or calculation.
Acad_Axi_FHC_sueño perosnal,Theory of social influence,"It is the fuel of our life, the why, frequently asked questions of what we want to achieve, what stimulates us and what gives us the illusion to fight for what we want to achieve."
Acad_Axi_FHC_Teoría de la influencia social,What are the types of reformulation social skill?,"Theory of social influence: It is a theory that refers to the process by which individuals influence the thoughts, feelings and actions of others. This influence is mainly supported by two mechanisms that are deindividualization and conformity. In the first of them, the individual sometimes loses his own individuality to integrate into the group and its norms. In the second, the real or perceived social pressure of the group itself aligns the behavior or opinions with those of the group"
Acad_Axi_FHC_tipos de la habilidad social de reformulación,Defining values,The reiteration (repeating the last words or key words) and the elucidation (ordering and clarifying the ideas heard) and returning the emotional background (assumption respectful of the perceived state of mind)
Acad_Axi_FHC_valores,vision,"Values: They are the principles that guide the performance or conduct of a person and man exists from the beginning, who discovers them with intelligence."
Acad_Axi_FHC_visión personal,What is Word for?,Personal vision: It consists of a desired state that you want to achieve in the future.
Acad_Axi_FHC_Word,What elements does a summary card have?,Word: It is a text editor.
Acad_Axi_GI_elementos tiene una ficha de resumen,What session is homework part 2  in ?,"La información que contenga una ficha de resumen siempre dependerá del uso que se le quiera dar pero, en general, toda ficha de resumen debe tener: Título Autor Ideas principales Referencias bibliográficas Notas Puedes consultar la siguiente liga Dá click aquí"
Acad_Axi_GI_En que sesión se encuentra la tarea parte 2,What is work part 2?,"The task is in: content, you go to session 7, then learning unit 13 and section 4. Tasks 2.- You enter My room, click on tasks and select the one that says session 7 and displays the work instructions."
Acad_Axi_GI_En qué consiste el trabajo parte 2,What is the digital age?,"Te recomendamos ver la siguiente liga Dá click aquí Descripción de la actividad: crea un video en la plataforma de tu preferencia en el que expongas: -La manera en la cual utilizas las herramientas para la distribución de información. -Los beneficios de almacenar la información en la nube y las ventajas de trabajar de manera colaborativa -Las ventajas y desventajas de usar las redes sociales de forma personal y laboral -Opinión sobre la manera en la que utilizas los entornos personales de aprendizaje El video debe contener una presentación y un cierre, durar de 5 a 10 minutos y mostrar ejemplos relacionados con tu carrera. Usa tu creatividad y tus apuntes de clase."
Acad_Axi_GI_era digital,What strategies are there to search the internet?,"Digital era: Check the infographic of UA 1, Session 1"
Acad_Axi_GI_estrategias para buscar en internet,What is an information source?,Consulta la lectura Sesión 2 UA4 Enlace web. Educar. (s.f.). Estrategias para buscar en internet. Recuperado de https://www.educ.ar/recursos/120208/estrategias-para-buscar-en-internet Dá click aquí
Acad_Axi_GI_fuente de información,What is a direct source?,"Information source: Check the reading Reading. Rojo, P. (2008). Access to information in the digital age: current situation and perspectives from multimedia journalistic companies. Communication, 1 (6), 159-172. Click here for more related information"
Acad_Axi_GI_fuente directa,What is access to information?,Fuente directa: Consulta la lectura Enlace web. Ecured. (s.f.). Fuentes de información. Dá click aqui para más informacion relacionada
Acad_Axi_GI_L1_acceso a la información,What is the new way of learning information and communication technologies?,Access to information is a right that empowers all citizens Click here for more related information.
Acad_Axi_GI_L1_aprende con las TIC,What are mixed courses?,E-learning is a new way of learning information and communication technologies Click here for more related information.
Acad_Axi_GI_L1_cursos mixtos,What would be examples of the digital age?,Los cursos mixtos son cursos que combinan clases a distancia con clases presenciales Dá click aqui para más informacion relacionada
Acad_Axi_GI_L1_Ejemplos de la era digital,What examples are there of information and communication technologies?,Internet and social networks are examples of the digital age Click here for more related information.
Acad_Axi_GI_L1_Ejemplos de TIC,How is the communication composed?,"Computers, social media, and accounting software are examples of information and communication technologies Click here for more related information."
Acad_Axi_GI_L1_Elementos de la comunicación,What is the digital age called?,"Communication is made up of a series of knowledge, skills and attitudes Click here for more related information."
Acad_Axi_GI_L1_era digital,How is the information  today ?,The digital age is also known as the information society Click here for more related information.
Acad_Axi_GI_L1_información en la actualidad,How are information and communication technologies tested?,The information currently must be true and reliable Click here for more related information.
Acad_Axi_GI_L1_probar las tecnologías de la información,It is the beginning of the production of information,Information and communication technologies allow testing of creative teaching methods Click here for more related information.
Acad_Axi_GI_L1_producción de la información,Communication protocols,The beginning of the production of the information has to be adapted to the process that responds Click here for more related information.
Acad_Axi_GI_L1_protocolos de la comunicación,How is the information transmitted and received?,"The communication protocols are advertising, common language, branding and digital hypertext on the network Click here for more related information."
Acad_Axi_GI_L1_trasmitir y recibir información,What is ubiquity?,The process by which information is transmitted and received is through communication Click here for more related information.
Acad_Axi_GI_L1_ubicuidad de la información,What is the ubiquity of information and communication technologies?,The ubiquity of the new technologies have been consolidated in recent decades and have led to social changes in all areas of life Click here for more related information.
Acad_Axi_GI_L1_ubicuidad de las TIC,How is the data analysis?,The ubiquity of information and communication technologies is largely due to cell phones Click here for more related information.
Acad_Axi_GI_L2_análisis de datos,How is the authority in the selection of information?,The data analysis must be aligned with the research methodology Click here for more related information.
Acad_Axi_GI_L2_autoridad en la selección de la información,How is the search for information considered?,Authority is a criterion for selecting information according to the prestige of the author or the institution. Click here for more related information.
Acad_Axi_GI_L2_búsqueda de la información,How much do digital information sources matter?,The search for information is considered a competition of the digital age Click here for more related information.
Acad_Axi_GI_L2_fuentes de información digitales,Can I go to many sources?,"In the digital age, digital information sources predominate over traditional information sources. Click here for more related information."
Acad_Axi_GI_L2_fuentes de información,What is the use of graphing the information?,Using more sources can add credibility to your research Click here for more related information.
Acad_Axi_GI_L2_graficar la información,What are the actions that enable synthesis?,Graphing the information helps its interpretation Click here for more related information.
Acad_Axi_GI_L2_habilitar la síntesis,What if I require too much information to start a project?,"The 3 actions that enable a synthesis are reading, analyzing and understanding Click here for more related information."
Acad_Axi_GI_L2_más información,How are the magazines named?,The need to require more and more information to start a project can paralyze us. Click here for more related information.
Acad_Axi_GI_L2_nombre de las revistas,How do you start a theory or a project?,Periodicals such as magazines owe their name to their publishing and dissemination process. Click here for more related information.
Acad_Axi_GI_L2_origen de un proyecto,What do the proceedings refer to?,Observation is usually the origin of any theory or project Click here for more related information.
Acad_Axi_GI_L2_proceedings,What happens when a search result is not accurate?,The proceedings refer to the information published in the framework of the conferences. Click here for more related information.
Acad_Axi_GI_L2_resultado de una búsqueda,What is an information system like?,Inaccurate search results can lead to frustration for the person. Click here for more related information.
Acad_Axi_GI_L2_sistema de información,How is the synthesis?,An information system is characterized by having limits and objectives Click here for more related information.
Acad_Axi_GI_L2_síntesis,What is needed to use the information?,"A synthesis can consider the process of joining the parts, merging them or organizing them Click here for more related information."
Acad_Axi_GI_L2_uso de la información,Definition of appointment,Para ser competente en el uso de la información se debe saber manejar la tecnología Dá click aqui para más informacion relacionada
Acad_Axi_GI_L3_cita,What is needed to use copyrighted content?,"A quote is the mention of a foreign text, idea or phrase, it sends the reader to the source from which the information was obtained Click here for more related information."
Acad_Axi_GI_L3_contenido de derechos de autor,What is the constant of the creative commons license?,Before using any content with rights it is advisable to obtain licenses for its use. Click here for more related information.
Acad_Axi_GI_L3_creative commons,What does copyright mean to someone?,"The constant of the Creative Commons license is the attribution, that is, you are named as the author Click here for more related information."
Acad_Axi_GI_L3_derecho de autor para una persona,How are copyright protected?,The copyright for a person can be considered an asset just like a car Click here for more related information.
Acad_Axi_GI_L3_derecho de autor,What does copyright and intellectual property rights cover?,The rights protected by copyright are moral and patrimonial Click here for more related information.
Acad_Axi_GI_L3_derechos de autor y de propiedad intelectual,What are bibliographic managers for?,"In the context of a digital economy, copyright and intellectual property rights encompass global relationships Click here for more related information."
Acad_Axi_GI_L3_gestores bibliográficos,Who licenses copyright?,Bibliographic managers are tools that help manage research sources Click here for more related information.
Acad_Axi_GI_L3_lic de derechos de autor,How does the traditional model of scientific publications affect?,Each country has its office that reviews and licenses copyright Click here for more related information.
Acad_Axi_GI_L3_modelo tradicional de publicaciones,Precept that originates the open access,"The traditional model of scientific publications reduces visibility, therefore recognition to researchers Click here for more related information."
Acad_Axi_GI_L3_origina el Open Access,What does a patent grant?,One of the precepts that Open Access originates is that information is more relevant the more it is used. Click here for more related information.
Acad_Axi_GI_L3_patente,What is open access for?,A patent grants a privilege to the inventor Click here for more related information.
Acad_Axi_GI_L3_permite el acceso abierto,How is piracy?,Open access allows free use of information within the legal limits allowed. Click here for more related information.
Acad_Axi_GI_L3_piratería,What is the copyright challenge?,"Piracy refers to the illegal acts of reproduction, dissemination and sale in any of its commercial variants, of works protected by copyright. Click here for more related information."
Acad_Axi_GI_L3_Reto de los derechos de autor,What is the use of dating?,The challenge of copyright is to understand the digital age and its economy Click here for more related information.
Acad_Axi_GI_L3_uso de cita,What is canva for?,The correct use of citations helps to give visibility to the methodology used in an investigation Click here for more related information.
Acad_Axi_GI_L4_canva,What are the  3  axes for proper movement management?,Canva is an example of the most used type of tools because it facilitates the creation of graphic content Click here for more related information.
Acad_Axi_GI_L4_gestión del movimiento,What does a synchronous tool do?,"The 3 key axes for proper knowledge management are people, processes and technology Click here for more related information."
Acad_Axi_GI_L4_herramienta sincrónica,What are the goals of the tools to create content?,A synchronous tool enables real-time communication Click here for more related information.
Acad_Axi_GI_L4_herramientas de contenido,How are the information management tools used?,Many of the tools that help create content have educational objectives for the benefit of teachers and students. Click here for more related information.
Acad_Axi_GI_L4_herramientas para la gestión de la información,What was used to inform before the press?,The information management tools help to increase the intangible assets of an organization and have the function of facilitating the work if it is done rigorously. Click here for more related information.
Acad_Axi_GI_L4_información antes de la imprenta,Why is there almost no print media anymore?,"Before printing, information was transmitted orally Click here for more related information."
Acad_Axi_GI_L4_medios impresos,Why use different search engines?,"Among the disadvantages of print media is the high cost of production compared to digital media, which is why it is decreasing. Click here for more related information."
Acad_Axi_GI_L4_motores de búsqueda,What is a PDF?,Different search engines can offer different results Click here for more related information.
Acad_Axi_GI_L4_PDF,Advantages of online education programs,PDF is the standard format for distributing information Click here for more related information.
Acad_Axi_GI_L4_programas de educación en línea,What results do search engines show?,Online education programs often have the ability to have remote conversations but in real time Click here for more related information.
Acad_Axi_GI_L4_resultados de buscadores,What is cloud storage for?,Search engine results can be organic or paid Click here for more related information.
Acad_Axi_GI_L5_almacenamiento en la nube,What can cloud collaboration do?,"Cloud storage tools are essential since they make it possible to store files from a server and have access to them from anywhere and in real time, an example of which is Dropbox Click here for more related information."
Acad_Axi_GI_L5_colaboración en la era digital,How is the data currently stored?,"Collaboration aims to facilitate the path of innovation and create knowledge, to be successful they require skills and disposition. Collaboration processes are not new, they date back to the 1940s, with the passage of time they have become simpler. Collaboration in the cloud allows you to work in real time. Click here for more related information."
Acad_Axi_GI_L5_Dispositivos para  guardar información,What cloud can I use?,"To save information, different devices are used such as optical, magnetic and flash-type devices that are the fastest, although sometimes they only serve to capture Click here for more related information."
Acad_Axi_GI_L5_guardar o almacenar en la nube,How are social networks classified?,"Cloud servers allow you to store documents, photos, videos, programs, one of the most recommended servers to store information is Google Drive. Click here for more related information."
Acad_Axi_GI_L6_clasifican redes sociales,What should be reviewed on social media to be of value?,Social networks are classified according to their origin and function Click here for more related information.
Acad_Axi_GI_L6_Redes sociales México,Purpose of digital repositories,"Social networks constitute the fall of entry barriers so that each person is a means of communication, in Mexico 63 million people use social networks normally. Information must be reviewed and identified to be true if people want to add value to their network Click here for more related information."
Acad_Axi_GI_L6_repositorios digitales,Most used social networks,"Digital repositories can be public or private and are made up of digital objects and their metadata support new trends in information management: in the academic field. Digital repositories can be institutional or business, both help safeguard and make decisions from an access point, an example of an institutional digital repository is the IBUNAM library Click here for more related information."
Acad_Axi_GI_L6_Uso redes sociales,Disadvantage of social media,"Social networks help to make information of work and academic interest visible, strictly adhering to the spelling rules, among the most used are Facebook, Instagram, Twitter and YouTube Click here for more related information."
Acad_Axi_GI_L6_Ventaja redes sociales,What does it take to manage yourself?,"Social networks have benefits and disadvantages, both on a personal and business level, instant communication represents an advantage but if they are used excessively it could represent a disadvantage such as isolation or loss of productive time. Click here for more related information."
Acad_Axi_GI_L7_entorno personal de aprendizaje,How can social bookmarking sites be?,"Learning environments refer to a way of learning online, where you need an attitude to self-manage in the process, since they are open environments from a mobile device you can consume information Click here for more related information."
Acad_Axi_GI_L7_marcadores sociales,What is Netvibes?,"Implement personal learning environments as a way to manage information in a comprehensive way to develop relevant skills throughout a life and, for this, social bookmarking sites can be used, which can be free or paid. Click here for more related information."
Acad_Axi_GI_L7_Netvibes,What tools to use to organize a PLE?,"Sirve para organizar enciclopedias, diccionarios y mapas Dá click aqui para más informacion relacionada"
Acad_Axi_GI_L7_organizar un PLE,What is required for teaching in the digital age?,"To organize a PLE it is necessary to use tools, for example: Netvibes, although there are also others such as Symbaloo that are compatible with all devices Click here for more related information."
Acad_Axi_GI_L7_profesor en el aprendizaje,education promote,"A personal learning environment transforms the teacher's role into a facilitator who has to manage web and mobile resources, since one of the characteristics of the digital age is that it requires personalization and attitude and that, despite all the good things, for now no great achievements have been made in education since the internet burst Click here for more related information."
Acad_Axi_GI_L7_promover la educación,What is the PLE for?,Education should promote the acquisition of content that matches the competencies that society currently requires Click here for more related information.
Acad_Axi_GI_L7_Que es  un PLE,Who is the PLE for?,Personal Learning Environment (PLE) are systems that help students take control and manage their own learning. Click here for more related information.
Acad_Axi_GI_L7_Ventajas del PLE,What is the APA format?,"The benefits, as well as the disadvantages of the PLE, lie in providing all the possible tools to adapt the environment according to our interests, but if you do not have the knowledge of these tools it can be harmful, the PLE is both for students and for teachers, a PLE essentially summarizes information management processes Click here for more related information."
Acad_Axi_GI_Qué es el formato APA,What is PLE Personal Learning Environment?,"The APA standards are: a set of regulations and conventions for preparing monographic or research papers. For more details, consult the following link https://www.eexamples.co/eamples-de-normas-apa/#ixzz6s1N2sCzS"
Acad_Axi_GI_Qué es Entorno personal de aprendizaje PLE,What is society  1.0 ?,"Personal learning environment PLE: See the video of Session 7 UA13. Video. Castañeda, L. (Speaker). (2012, September 7). University of Murcio. (Producer). PLE Personal Learning Environments [Video File]. From https://www.youtube.com/watch?v=MPUlHtYfSzA"
Acad_Axi_GI_Qué es la sociedad 1.0,What is ubiquity?,Check the infographic of Session 7 UA14
Acad_Axi_GI_Qué es ubicuidad,What is an information resource?,"Check the Reading. Rojo, P. (2008). Access to information in the digital age: current situation and perspectives from multimedia journalistic companies. Communication, 1 (6), 159-172. Retrieved from http://www.revistacomunicacion.org/pdf/n6/articulos/11_el_acceso_a_la_informacion_en_la_era_digital.pdf Click here"
Acad_Axi_GI_Qué es un recurso de información,What is an electronic resource?,"Information resource: Consult the reading Reading. Rojo, P. (2008). Access to information in the digital age: current situation and perspectives from multimedia journalistic companies. Communication, 1 (6), 159-172. Retrieved from http://www.revistacomunicacion.org/pdf/n6/articulos/11_el_acceso_a_la_informacion_en_la_era_digital.pdf"
