Intents,Query,Response
Acad_Teo_CA_licitación tiene un fundamento económico,Este principio de licitación tiene un fundamento económico porque afecta al valor que pueda ofrecer el licitante.,"La información ha de ser accesible a los participantes. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""http://repositorio.cepal.org/bitstream/handle/11362/5583/S2002616_es.pdf;jsessionid=9B1E08C319F4170B431E616DFE1CE720?sequence=1"" target=""_blank"">Manual de licitaciones públicas. (PDF)</a><br />
<a href=""http://imco.org.mx/wp-content/uploads/2013/7/Guia_de_compras_publicas_011012.pdf” target=""_blank"">Guía pública de compras públicas (PDF)</a><br />
<a href=""https://www.youtube.com/watch?v=HIYOJX_n57w&t=7s“ target=""_blank"">Qué son las licitaciones. Concursos de adquisiciones y COMPRANET. (Video)</a>
<a href=""https://www.youtube.com/watch?v=EwfX1mx8wfg"" target=""_blank"">¿Qué es licitación pública? (Video)</a><br />
<a href=""https://www.youtube.com/watch?v=XHuVegT4AfU&t=8s"" target=""_blank"">Introducción a las compras públicas #1 (Video)</a><br />"
Acad_Teo_CA_liquidez,¿Qué es liquidez?,"Es el ratio que indica la capacidad de la empresa para cumplir con sus obligaciones de corto plazo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.usmp.edu.pe/recursoshumanos/pdf/3Analisis%20Financiero.pdf"""" target=""""_blank"""">Análisis financiero. (PDF)</a><br />
<a href=""""http://www.repo.funde.org/114/5/DTR-T-OC-3.pdf” target=""""_blank"""">Compras Gubernamentales: el proceso de adquisiciones y contrataciones de la Administración Pública (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=BfDpBZJ0jwk“ target=""""_blank"""">Introducción a las compras públicas #2. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=7-NZx7luX-4"""" target=""""_blank"""">Evaluaciones en los procesos de compras públicas. (Video)</a><br />"
Acad_Teo_CA_los encargados de abastecer a las organizaciones,¿Quién son los encargados de abastecer a las organizaciones?,Proveedores.
Acad_Teo_CA_límites inferiores y superiores de existencias de producto en el inventario,¿Qué establece los límites inferiores y superiores de existencias de producto en el inventario?,Máximos y mínimos.
Acad_Teo_CA_materiales directos,¿Qué son los materiales directos?,"Son aquellos que pueden identificarse fácilmente.  <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://psinai.wordpress.com/2013/03/03/materiales-directos-e-indirectos/"""" target=""""_blank"""">Materiales directos e indirecto (PDF)</a><br />
<a href=""""https://es.slideshare.net/oscarreyesnova/4-manejo-de-empaques-y-embalajes” target=""""_blank"""">Empaques y embalajes. Las mejores prácticas en el manejo de la carga logística. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=t3eB94AGQ44“ target=""""_blank"""">Razones de actividad | Rotación de inventario. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=mtZhIoLb2fw"""" target=""""_blank"""">Indicadores de desempeño de almacén. | KPI’s | Rotación de inventarios.? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=3iVCSivjyuE"""" target=""""_blank"""">Envase, empaque y embalaje (Video)</a><br />"
Acad_Teo_CA_Medición del desempeño,Definición de medición del desempeño.,"Se define como el proceso de cuantificación de la eficacia y eficiencia de una acción. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/articulo.oa?id=20604905"""" target=""""_blank"""">Costos Transaccionales y Cadena de Abastecimiento: Un Asunto de Competitividad. (PDF)</a><br />
<a href=""""http://www.web.facpya.uanl.mx/vinculategica/Revistas/754-765%20GESTION%20DE%20LA%20CADENA%20DE%20SUMINISTROS%20REVISION%20DEL%20MARCO%20TEORICO%20(FACTORES%20DE%20MEDICION)..pdf” target=""""_blank"""">Gestión de la cadena de suministro: Revisión del marco teórico (Factores de medición). (PDF)</a><br />
<a href=""""http://virtual.umng.edu.co/distancia/ecosistema/odin/odin_desktop.php?path=Li4vb3Zhcy9kaXBsb21hZG9zL2RpcGxvbWFkb19kZV9sb2dpc3RpY2FfaW50ZWdyYWwvdW5pZGFkXzIv#slide_1"""" target=""""_blank"""">Proceso de Gestión de Compras-INDE. (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=8dLwNVBeNQs"""" target=""""_blank"""">Gestión de aprovisionamiento. (Video)</a><br />"
Acad_Teo_CA_minimizan los riesgos de qué tipo,"¿Cuál es la implementación de herramientas que prevengan acciones fraudulentas referentes al área de compras, minimizan los riesgos de qué tipo?",Económicos y de reputación
Acad_Teo_CA_modelo centralizado de compras,¿Qué ventaja tiene el modelo centralizado de compras?,"Disminución de los precios de adquisición de los productos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.biamericas.com/presentaciones/2012/gestionDeCompras/gestion-de-compras.pdf"""" target=""""_blank""""> Gestión de Compras: Logística y Reaprovisionamiento Eficiente (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=E9I1y9Qf_20&t=21s"""" target=""""_blank""""> Ciclo o proceso de compra ¿qué es?  (Video)</a><br />
<a href=""""https://begonagonzalezelejabarrieta.wordpress.com/2013/02/21/tipos-de-compras-ventajas-y-desventajas/"""" target=""""_blank""""> Tipos de compras. Ventajas y desventajas. (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=09-8psqJD2g"""" target=""""_blank""""> Administración de las compras Parte 1-El concepto del departamento de compras. (Video)</a><br />"
Acad_Teo_CA_necesario fabricar una refacción,¿Por qué razón puede ser necesario fabricar una refacción?,"Tiempo de entrega muy largo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf"""" target=""""_blank"""">El proceso de aprovisionamiento (PDF)</a><br />
<a href=""""http://fhm-conference.com/sitio/proceso-estandar-de-operacion-administracion-de-refacciones-y-almacen/” target=""""_blank"""">Proceso estándar de operación: Administración de refacciones y almacén. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=3ihRUiK6McM“ target=""""_blank"""">Como mejorar los resultados de tu almacén y reducir sus costos de operación. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=hEcIU0LBLi4"""" target=""""_blank"""">Acciones para bajar tus niveles de inventario (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=tBpArTSo1BA"""" target=""""_blank"""">Comprar o producir: teoría y ejercicio resuelto (Video)</a><br />"
Acad_Teo_CA_negociación con proveedores,¿Qué es la negociación con proveedores?,Es una función del departamento de compras.
Acad_Teo_CA_negociación en la compra de insumos,¿Cuál es la negociación en la compra de insumos?,"Un costo de transacción. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/articulo.oa?id=20604905"""" target=""""_blank"""">Costos Transaccionales y Cadena de Abastecimiento: Un Asunto de Competitividad. (PDF)</a><br />
<a href=""""http://www.web.facpya.uanl.mx/vinculategica/Revistas/754-765%20GESTION%20DE%20LA%20CADENA%20DE%20SUMINISTROS%20REVISION%20DEL%20MARCO%20TEORICO%20(FACTORES%20DE%20MEDICION)..pdf” target=""""_blank"""">Gestión de la cadena de suministro: Revisión del marco teórico (Factores de medición). (PDF)</a><br />
<a href=""""http://virtual.umng.edu.co/distancia/ecosistema/odin/odin_desktop.php?path=Li4vb3Zhcy9kaXBsb21hZG9zL2RpcGxvbWFkb19kZV9sb2dpc3RpY2FfaW50ZWdyYWwvdW5pZGFkXzIv#slide_1"""" target=""""_blank"""">Proceso de Gestión de Compras-INDE. (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=8dLwNVBeNQs"""" target=""""_blank"""">Gestión de aprovisionamiento. (Video)</a><br />"
Acad_Teo_CA_niveles de inventario,¿De forma externa quién debe conocer nuestros niveles de inventario?,"Proveedores. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf"""" target=""""_blank"""">El proceso de aprovisionamiento (PDF)</a><br />
<a href=""""http://fhm-conference.com/sitio/proceso-estandar-de-operacion-administracion-de-refacciones-y-almacen/” target=""""_blank"""">Proceso estándar de operación: Administración de refacciones y almacén. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=3ihRUiK6McM“ target=""""_blank"""">Como mejorar los resultados de tu almacén y reducir sus costos de operación. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=hEcIU0LBLi4"""" target=""""_blank"""">Acciones para bajar tus niveles de inventario (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=tBpArTSo1BA"""" target=""""_blank"""">Comprar o producir: teoría y ejercicio resuelto (Video)</a><br />"
Acad_Teo_CA_objetivo de un almacén,¿Cuál es el objetivo de un almacén?,"Minimizar averías de inventarios. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.fesc.edu.co/portal/archivos/e_libros/logistica/ind_logistica.pdf"""" target=""""_blank"""">Indicadores de gestión logística. (PDF)</a><br />
<a href=""""http://www.scielo.org.co/pdf/eg/v26n117/v26n117a09.pdf” target=""""_blank"""">Gestión De Almacenes Y Tecnologías De La Información Y Comunicación (Tic). (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=zTuf8vn68Ww“ target=""""_blank"""">Sistema de gestión documental. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=TvuZwGHAEMM"""" target=""""_blank"""">Qué es un ERP. (Video)</a><br />"
Acad_Teo_CA_Obsolescencia,¿Qué es la obsolescencia?,Existencias cuyo valor contable ha disminuido de forma parcial o total por su depreciación en el mercado al que va dirigido.
Acad_Teo_CA_Ofertante,¿Qué es un ofertante?,"Persona natural o jurídica, legalmente capacitada para participar presentando oferta o propuestas en las licitaciones de bienes, obras, servicios o concesiones."
Acad_Teo_CA_orientado el sector privado,¿A qué está orientado el sector privado?,"Al beneficio económico. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://moodle2.unid.edu.mx/dts_cursos_mdl/ejec/AE/CI/S09/CI09_Lectura.pdf"""" target=""""_blank"""">Administración de compras e inventarios. (PDF)</a><br />
<a href=""""https://curiosoando.com/cuales-son-las-principales-diferencias-entre-el-sector-publico-y-el-sector-privado” target=""""_blank"""">¿Cuáles serían las principales diferencias entre el sector público y el sector privado?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=2dE3WKJ9aIs&t=28s“ target=""""_blank"""">Compras públicas (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MhefaVgG0vQ&t=20s"""" target=""""_blank"""">Logística y distribución física internacional – Negocios internacionales. (Video)</a><br />"
Acad_Teo_CA_papel del departamento legal,¿Cuál es el papel del departamento legal dentro de compras?,"Dentro de la revisión de contratos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://es.scribd.com/doc/106183798/Importancia-de-la-relacion-y-comunicacion-de-Compras-con-los-demas-departamentos-de-la-organizacion"""" target=""""_blank"""">Importancia de la relación y comunicación de Compras con los demás departamentos de la organización. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Tecnología De La Información En La Cadena De Suministro  (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=YkikvkEYnws“ target=""""_blank"""">Sistemas de información de soporte a la gestión de la cadena de suministro, SCM||UPV (Video)</a>
<a href=""""https://www.youtube.com/watch?v=_ysrPuk0fgM"""" target=""""_blank"""">Gestión de la cadena de suministro (SCM). (Video)</a><br />"
Acad_Teo_CA_país se especializa en bienes de capital denominados maquinaria no eléctrica,¿Qué país se especializa en bienes de capital denominados maquinaria no eléctrica?,"Alemania. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://eprints.ucm.es/40738/1/T38213.pdf"""" target=""""_blank"""">Bienes de capital, flujos tecnológicos y cambio estructural: los casos de Estados Unidos, Japón y Alemania, 1980-2005. (PDF)</a><br />
<a href=""""https://dialnet.unirioja.es/servlet/articulo?codigo=2991249” target=""""_blank"""">La investigación y el desarrollo como ejes centrales para la generación de bienes de capital. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=GdzuDb2Db5U“ target=""""_blank"""">Bienes de consumo y de capital (Video)</a>
<a href=""""https://www.youtube.com/watch?v=t6xVxtGyN34"""" target=""""_blank"""">Bienes de capital vs. Bienes de consumo y crecimiento económico. (Video)</a><br />"
Acad_Teo_CA_Plan de Requerimientos de Material,¿A qué se refiere al Plan de Requerimientos de Material?,MRP.
Acad_Teo_CA_Política,¿Qué es la política?,Son los lineamientos que rigen el proceso de compras al interior de una organización.
Acad_Teo_CA_precios de artículos de producción estándar,¿Qué comportamiento deben tener los precios de artículos de producción estándar?,"Estable. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://cuadernosdelprofesor.files.wordpress.com/2016/01/libro-admondecomprasyabastecimientos.pdf"""" target=""""_blank"""">Precio. (PDF)</a><br />
<a href=""""http://ual.dyndns.org/Biblioteca/Costos_II/Pdf/Unidad_07.pdf” target=""""_blank"""">Administración de inventarios (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=w6Tqcu8uJfI“ target=""""_blank"""">¿Qué es el control de inventarios? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=apRwXXJJoBo&index=11&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq"""" target=""""_blank"""">Administración de almacenes 6- Cómo calcular el inventario promedio (Video)</a><br />"
Acad_Teo_CA_Prelicitación,¿Qué es prelicitación?,"Etapa del proceso de licitación pública que comprende presentar, ante la unidad encargada de las adquisiciones y contrataciones, una solicitud de compra con los requerimientos y costo aproximado de los bienes o servicios que se desean adquirir. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.usmp.edu.pe/recursoshumanos/pdf/3Analisis%20Financiero.pdf"""" target=""""_blank"""">Análisis financiero. (PDF)</a><br />
<a href=""""http://www.repo.funde.org/114/5/DTR-T-OC-3.pdf” target=""""_blank"""">Compras Gubernamentales: el proceso de adquisiciones y contrataciones de la Administración Pública (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=BfDpBZJ0jwk“ target=""""_blank"""">Introducción a las compras públicas #2. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=7-NZx7luX-4"""" target=""""_blank"""">Evaluaciones en los procesos de compras públicas. (Video)</a><br />"
Acad_Teo_CA_principal problema de la cadena de suministro,¿Cuál es el principal problema de la cadena de suministro?,"Incertidumbre. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.uaeh.edu.mx/investigacion/productos/5495/sistemas_de_informacion_para_la_cadena_tlaxcala_2012.pdf"""" target=""""_blank"""">Sistemas de información para la cadena de suministros. (PDF)</a><br />
<a href=""""https://revistas.unal.edu.co/index.php/dyna/article/download/9551/10142::pdf” target=""""_blank"""">Tecnologías De La Información En La Cadena De Suministro. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=CZAq3Ig-zIs“ target=""""_blank"""">Formación para empresa en habilidades de comunicación.. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=BFHYEfjtaEM"""" target=""""_blank"""">Quien compra bien, vende bien. (Video)</a><br />"
Acad_Teo_CA_principales pasos para culminar la orden de compra,¿Cuál es uno de los principales pasos para culminar la orden de compra?,"Entrega de productos o servicios. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.cca.org.mx/funcionarios/cursos/ap089_2_anterior/apoyos/m4/proceso_t3p2_4.pdf"""" target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (PDF)</a><br />
<a href=""""https://uacm123.weebly.com/9-gestioacuten-de-las-adquisiciones-del-proyecto.html” target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (Web Page)</a><br />
<a href=""""https://www.youtube.com/watch?v=3milWd1covM"""" target=""""_blank"""">Proceso de logística. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=znBAKRijhd4"""" target=""""_blank"""">Cerrar las adquisiciones. (Video)</a><br />"
Acad_Teo_CA_Principio de igualdad y libre competencia,¿Qué es principio de igualdad y libre competencia?,"Principio rector de las políticas de operación que hace referencia a que todos los posibles oferentes tienen las mismas oportunidades. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.uno.edu.mx/downloads/Reglamentos_Politicas/PoliticasCompras2.pdf"""" target=""""_blank""""> Políticas de compras. (PDF)</a><br />
<a href=""""http://da.gob.do/transparencia/?wpfb_dl=539” target=""""_blank"""">¿Cuáles serían las principales diferencias entre el sector público y el sector privado?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=ZhEOuZeM0I0&t=50s“ target=""""_blank"""">Planeación y política de compras. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=gzjXipeP5lo"""" target=""""_blank"""">Encuentro gerencial 02: Políticas empresariales (Video)</a><br />"
Acad_Teo_CA_Principio reciprocidad,¿Qué es principio reciprocidad?,"Principio rector de las políticas de operación que hace referencia a que se les debe dar un trato justo y digno a todos los oferentes. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.uno.edu.mx/downloads/Reglamentos_Politicas/PoliticasCompras2.pdf"""" target=""""_blank""""> Políticas de compras. (PDF)</a><br />
<a href=""""http://da.gob.do/transparencia/?wpfb_dl=539” target=""""_blank"""">¿Cuáles serían las principales diferencias entre el sector público y el sector privado?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=ZhEOuZeM0I0&t=50s“ target=""""_blank"""">Planeación y política de compras. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=gzjXipeP5lo"""" target=""""_blank"""">Encuentro gerencial 02: Políticas empresariales (Video)</a><br />"
Acad_Teo_CA_procesamiento de pedidos,El procesamiento de pedidos ¿es un costo de qué tipo?,"Logístico. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.fesc.edu.co/portal/archivos/e_libros/logistica/ind_logistica.pdf"""" target=""""_blank"""">Indicadores de gestión logística. (PDF)</a><br />
<a href=""""http://www.scielo.org.co/pdf/eg/v26n117/v26n117a09.pdf” target=""""_blank"""">Gestión De Almacenes Y Tecnologías De La Información Y Comunicación (Tic). (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=zTuf8vn68Ww“ target=""""_blank"""">Sistema de gestión documental. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=TvuZwGHAEMM"""" target=""""_blank"""">Qué es un ERP. (Video)</a><br />"
Acad_Teo_CA_Pronóstico,¿Para que sirve el pronóstico?,La meta de esta herramienta es primero la predicción y posteriormente la estimación de algo.
Acad_Teo_CA_Proteger de la humedad,¿Qué es proteger de la humedad?,"Son factores clave para una correcta manipulación de los empaques. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://psinai.wordpress.com/2013/03/03/materiales-directos-e-indirectos/"""" target=""""_blank"""">Materiales directos e indirecto (PDF)</a><br />
<a href=""""https://es.slideshare.net/oscarreyesnova/4-manejo-de-empaques-y-embalajes” target=""""_blank"""">Empaques y embalajes. Las mejores prácticas en el manejo de la carga logística. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=t3eB94AGQ44“ target=""""_blank"""">Razones de actividad | Rotación de inventario. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=mtZhIoLb2fw"""" target=""""_blank"""">Indicadores de desempeño de almacén. | KPI’s | Rotación de inventarios.? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=3iVCSivjyuE"""" target=""""_blank"""">Envase, empaque y embalaje (Video)</a><br />"
Acad_Teo_CA_proveedor crític,¿Qué es un proveedor crítico?,"Aquellos que tienen un gran impacto en el proceso productivo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://calidad.cecar.edu.co/documentos/procedimientos/gestion_de_bienes_y_servicios/Procedimiento_de_evaluacion_seleccion_y_reevaluacion_de_proveedores_V2.pdf"""" target=""""_blank"""">Procedimiento para la evaluación, selección y reevaluación de proveedores. (PDF)</a><br />
<a href=""""http://calidad-gestion.com.ar/boletin/72_evaluacion_de_proveedores.html” target=""""_blank"""">Evaluación de proveedores (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=gwNRezWKjK0“ target=""""_blank"""">Importancia del almacén en la cadena de suministro. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=OoDyM9qn5Cc"""" target=""""_blank"""">Administración de almacenes 4 – Áreas de trabajo que debe tener un almacén. (Video)</a><br />"
Acad_Teo_CA_proveedores se deben evaluar principalmente,¿Cuáles proveedores se deben evaluar principalmente?,"Críticos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://calidad.cecar.edu.co/documentos/procedimientos/gestion_de_bienes_y_servicios/Procedimiento_de_evaluacion_seleccion_y_reevaluacion_de_proveedores_V2.pdf"""" target=""""_blank"""">Procedimiento para la evaluación, selección y reevaluación de proveedores. (PDF)</a><br />
<a href=""""http://calidad-gestion.com.ar/boletin/72_evaluacion_de_proveedores.html” target=""""_blank"""">Evaluación de proveedores (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=gwNRezWKjK0“ target=""""_blank"""">Importancia del almacén en la cadena de suministro. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=OoDyM9qn5Cc"""" target=""""_blank"""">Administración de almacenes 4 – Áreas de trabajo que debe tener un almacén. (Video)</a><br />"
Acad_Teo_CA_proveedores se recomiendan mantener,¿Cuántos proveedores se recomiendan mantener de acuerdo con la política para el abastecimiento de las materias primas básicas?,"3. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.editorialpatria.com.mx/pdffiles/9786074386202.pdf"""" target=""""_blank"""">Administración de compras (PDF)</a><br />
<a href=""""http://www.oas.org/juridico/spanish/mesicic2_repdom_sc_anexo_19_sp.pdf” target=""""_blank"""">El Sistema de Compras en la Administración Pública: Propuestas para su transformación. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=yWF1ej6oiYQ“ target=""""_blank"""">Compras nacionales e internacionales. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=xzisBBZoI_E"""" target=""""_blank"""">El proceso de compras en una empresa (Video)</a><br />"
Acad_Teo_CA_recepción de materiales no requeridos,¿Qué es la recepción de materiales no requeridos?,Es un problema que puede surgir por la falta de control en la recepción de mercancía.
Acad_Teo_CA_recibido,¿Cómo se realiza recibido?,"Una vez que los insumos han llegado a la empresa, se tienen que buscar en sistema y cambiar el estatus a recibido. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.cca.org.mx/funcionarios/cursos/ap089_2_anterior/apoyos/m4/proceso_t3p2_4.pdf"""" target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (PDF)</a><br />
<a href=""""https://uacm123.weebly.com/9-gestioacuten-de-las-adquisiciones-del-proyecto.html” target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (Web Page)</a><br />
<a href=""""https://www.youtube.com/watch?v=3milWd1covM"""" target=""""_blank"""">Proceso de logística. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=znBAKRijhd4"""" target=""""_blank"""">Cerrar las adquisiciones. (Video)</a><br />"
Acad_Teo_CA_reducción de costos,¿Qué es la reducción de costos?,Es un objetivo del departamento de compras.
Acad_Teo_CA_reglas de operación con el proveedor,¿Cómo se fijan las reglas de operación con el proveedor?,"Empleando un programa de certificación. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://congreso.investiga.fca.unam.mx/docs/xix/docs/16.03.pdf"""" target=""""_blank"""">Proceso Para El Diseño De Un Sistema De Evaluación Y Selección De Proveedores. (PDF)</a><br />
<a href=""""http://www.scielo.org.co/pdf/eia/n15/n15a07.pdf” target=""""_blank"""">Selección De Proveedores Usando El Despliegue De La Función De Calidad Difusa. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=AVjVquodhBI“ target=""""_blank"""">Selección y evaluación de proveedores. (Video)</a>
<a href=""""http://www.wilsoft-la.com/productos/qsupplier-control-y-evaluacion-de-proveedores/"""" target=""""_blank"""">QSUPPLIER Control, evaluación y desarrollo de proveedores.  (Página Web)</a><br />"
Acad_Teo_CA_Regulador,¿Qué es regulador?,"Es el nuevo rol del Estado al momento de las licitaciones. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://repositorio.cepal.org/bitstream/handle/11362/5583/S2002616_es.pdf;jsessionid=9B1E08C319F4170B431E616DFE1CE720?sequence=1"""" target=""""_blank"""">Manual de licitaciones públicas. (PDF)</a><br />
<a href=""""http://imco.org.mx/wp-content/uploads/2013/7/Guia_de_compras_publicas_011012.pdf” target=""""_blank"""">Guía pública de compras públicas (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=HIYOJX_n57w&t=7s“ target=""""_blank"""">Qué son las licitaciones. Concursos de adquisiciones y COMPRANET. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=EwfX1mx8wfg"""" target=""""_blank"""">¿Qué es licitación pública? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=XHuVegT4AfU&t=8s"""" target=""""_blank"""">Introducción a las compras públicas #1 (Video)</a><br />"
Acad_Teo_CA_relacionadas con la obtención de artículos,"¿Qué aborda todas las actividades necesarias relacionadas con la obtención de artículos, servicios y cualquier otro material o insumo?","Procurement. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.redalyc.org/pdf/205/20511730008.pdf"""" target=""""_blank"""">Selección de proveedores: una aproximación al estado del arte. (PDF)</a><br />
<a href=""""https://dialnet.unirioja.es/descarga/articulo/3739228.pdf” target=""""_blank"""">Selección De Proveedores Usando El Método Moora. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=GQxbpF1XYz0“ target=""""_blank"""">Selección de proveedores. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=d8yijmUhw2Y&t=248s"""" target=""""_blank"""">Administración de compras: Como buscar proveedores nacionales y extranjeros. (Video)</a><br />"
Acad_Teo_CA_relación con los proveedores de mantenimiento,¿Cómo se sugiere que sea la relación con los proveedores de mantenimiento?,"Colaboración. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://200.40.96.180/images/guia_snip.pdf"""" target=""""_blank"""">Guía para la formulación y evaluación de proyectos de inversión. (PDF)</a><br />
<a href=""""https://www.slideshare.net/AngelPA70/las-7-claves-en-la-gestion-de-un-sistema-de-mantenimiento” target=""""_blank"""">Las 7 claves en la gestión de un sistema de mantenimiento. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=N85I5HDAkDM“ target=""""_blank"""">Ciclo de vida de los proyectos. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MlyrriEzx3o"""" target=""""_blank"""">¿Qué es la gestión de proyectos? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=yTMId3P-6Wk"""" target=""""_blank"""">Tipos de mantenimiento (Video)</a><br />"
